Micro-Category	2025 MC CAGR (Weighted Average)	2025 MC Engagement (Sum) (Millions)
Desk Reset Drinks	108.03%	1262.580000
Milkshake-Style RTDs	17.00%	975.240000
Pocket Wellness Hydration	54.43%	663.670000
Outdoor Worker Hydration Drinks	33.00%	626.700000
Festival Detox Drinks	136.13%	587.610000
Lite Dairy-Adjacency Treats	45.86%	532.370000
Meal-Lite Fuel Drinks	112.96%	493.790000
Low-Sugar Energy Lemonades	45.85%	492.300000
Smart Substitute Drinks	320.00%	491.350000
Boba / Texture Drinks	232.00%	471.260000
Daily Health RTD Minis	91.26%	456.280000
Collagen Glow Drinks	168.00%	455.450000
Protein Dairy-Adjacency Drinks	347.50%	444.190000
Hydration+ Sparkling	482.00%	432.990000
₹20 Functional Shots	119.75%	412.330000
Fibre Water RTDs	188.00%	344.950000
Calm-Energy Tea Drinks	81.00%	310.590000
Daily Probiotic Hydration	73.16%	309.130000
Summer Fruit Drops	45.00%	305.710000
Soft Fizz Drinks	437.20%	291.950000
Lite Café Dessert Drinks	39.45%	290.680000
Vitamin Sparkling Waters	15.00%	278.530000
Lite Daily Electrolyte Drinks	89.01%	265.750000
Meeting-Prep Fuel Drinks	113.00%	211.230000
Indian Festival Drinks	154.00%	206.640000
Electrolyte Sparkling Waters	157.00%	181.370000
Office Desk Wellness Drinks	118.00%	173.750000
Portable Morning Habit Drinks	56.03%	171.820000
Stability Fuel Drinks	40.00%	150.700000
Post-Heavy-Meal Digestive Drinks	17.48%	146.800000
Light Treat Relax Drinks	109.00%	143.980000
Long-Study Tea Drinks	56.20%	142.300000
Warm-to-Cold Transition Fuel	-25.81%	136.590000
Protein + Electrolyte Fuels	-27.00%	119.560000
Detox-Reset Refresh Drinks	-7.00%	106.290000
High-Salt Heat Recovery Drinks	170.00%	97.180000
Habit Ignition Minis	26.49%	95.120000
Mild Fatigue Recovery Drinks	99.28%	94.070000
Herbal Focus Drinks	75.00%	83.800000
Cold Coffee Variants	-17.00%	76.530000
Low-Sugar Night Drinks	104.30%	58.190000
Ayurvedic Beauty Drinks	-5.00%	56.970000
Ice-Cream-Inspired Drinks	31.00%	43.430000
Pre-Workout Lite Fuel Drinks	226.89%	36.810000
On-the-Go Protein Hydration	49.80%	25.200000
Male Vitality	46.13%	23.330000
Light Caffeine Electrolyte Drinks	33.30%	21.820000
Lite Dessert Drinks	51.39%	21.200000
Social Escape	-4.00%	14.400000
Calm-Focus Drinks	26.00%	11.190000
All-Day Refresh RTDs	94.30%	5.930000
Mini Dessert Drinks	20.08%	5.490000
Plant Protein Hydration	2.02%	4.620000
Travel Recovery Hydration	12.40%	3.200000
Electrolyte Sparkling Drinks	1.30%	2.800000
Low-Caffeine Focus Drinks	-9.00%	2.090000
Herbal Sleep Drinks	43.00%	2.020000
Creative Reboot Drinks	242.91%	1.340000
Calm-Focus Sparkling	164.58%	1.210000
